Textbox20
"MassDOT makes no representation as to the accuracy, adequacy, reliability, availability or completeness of the crash records or the data collected from them and is not responsible for any errors or omissions in such records or data. Under no circumstance will MassDOT have any liability for any loss or damage incurred by any party as a result of the use of the crash records or the data collected from them. Furthermore, the data contained in the web-based crash report tool are not an official record of what transpired in a particular crash or for a particular crash type. If a user is interested in an official copy of a crash report, contact the Registry (http://www.mass.gov/rmv/).

The City of Boston Police Department may be contacted directly for official copies of crash reports and for crash data pertaining to the City of Boston. In addition, any crash records or data provided for the years 2022 and later are subject to change at any time and are not to be considered up-to-date or complete. As such, open years’ of crash data are for informational purposes only and should not be used for analysis.
4503629,SOMERVILLE,02-Feb-2018,3:15 PM,Property damage only (none injured),No injury,2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Turning right,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with median barrier),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Daylight,Clear,,Rte 93 N,,Exit 29 on Rte 93 N,,,234354.59732924,904549.61509137
4521018,SOMERVILLE,02-Feb-2018,9:18 PM,Non-fatal injury,Non-fatal injury - Non-incapacitating,2,1,0,Angle,V1: Travelling straight ahead / V2: Turning left,V1: W  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Ice,Dark - lighted roadway,Clear,SUMMER STREET / CENTRAL STREET,SUMMER STREET / CENTRAL STREET,,,,,232518.29703953,904022.31269087
4496723,SOMERVILLE,03-Feb-2018,7:00 PM,Property damage only (none injured),No injury,2,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Dark - lighted roadway,Clear,,Rte 93 S,,Exit 28 on Rte 93 S,,,234108.23329701,904851.77214765
4521219,SOMERVILLE,03-Feb-2018,11:30 PM,Non-fatal injury,Non-fatal injury - Non-incapacitating,1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1: Not Reported,"V1:(Collision with other fixed object (wall, building, tunnel, etc.))",V1:(Passenger car),Dry,Dark - lighted roadway,Clear,,165 MIDDLESEX AVENUE,,,,,234276.57784386,905020.31829015
4521221,SOMERVILLE,04-Feb-2018,10:28 AM,Property damage only (none injured),No injury,2,0,0,Angle,V1: Slowing or stopped in traffic / V2: Travelling straight ahead,V1: W  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Cloudy,CENTRAL STREET / OXFORD STREET,CENTRAL STREET / OXFORD STREET,,,,,232620.21063963,904223.37355506
4521223,SOMERVILLE,05-Feb-2018,3:22 PM,Non-fatal injury,Non-fatal injury - Incapacitating,3,4,0,Rear-end,V1: Slowing or stopped in traffic / V2: Slowing or stopped in traffic / V3: Travelling straight ahead,V1: W  / V2: W  / V3: Not Reported,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car) / V3:(Passenger car),Dry,Daylight,Clear,BROADWAY / CEDAR STREET,BROADWAY / CEDAR STREET,,,,,232274.6720793,905404.37477216
4496749,SOMERVILLE,06-Feb-2018,11:44 AM,Property damage only (none injured),No injury,2,0,0,Rear-end,V1: Parked / V2: Travelling straight ahead,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Cloudy,,Rte 93 N,,Exit 29 on Rte 93 N,,,234354.59732924,904549.61509137
4521952,SOMERVILLE,07-Feb-2018,11:07 AM,Property damage only (none injured),No injury,2,0,0,"Sideswipe, same direction",V1: Turning left / V2: Travelling straight ahead,V1: Not Reported / V2: Not Reported,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Wet,Daylight,Clear/Snow,,MIDDLESEX AVENUE / REVOLUTION DR,,,,,234376.62746952,904568.30579439
4499168,SOMERVILLE,07-Feb-2018,11:33 AM,Property damage only (none injured),No injury,2,0,0,Angle,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: N  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Wet,Daylight,Snow,,MCGRATH HIGHWAY Rte UNKNOW N / WASHINGTON STREET,,,,,233767.37480069,903382.56254628
4521224,SOMERVILLE,07-Feb-2018,12:23 PM,Property damage only (none injured),No injury,2,0,0,Angle,V1: Making U-turn / V2: Travelling straight ahead,V1: N  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Snow,Daylight,Snow/Cloudy,CHESTER STREET / COTTAGE AVENUE,CHESTER STREET / COTTAGE AVENUE,,,,,231039.60929415,904965.06238775
4521226,SOMERVILLE,07-Feb-2018,5:13 PM,Non-fatal injury,Non-fatal injury - Possible,1,1,0,Single vehicle crash,V1: Turning left,V1: N,V1:(Collision with pedestrian),"V1:(Light truck(van, mini-van, pickup, sport utility))",Wet,Dark - lighted roadway,Rain/Snow,WASHINGTON STREET / MYRTLE STREET,WASHINGTON STREET / MYRTLE STREET,,,, VU2: Pedestrian,234270.13166516,903546.12965043
4521227,SOMERVILLE,07-Feb-2018,5:15 PM,Not Reported,Not reported,2,0,0,Angle,V1: Entering traffic lane / V2: Travelling straight ahead,V1: Not Reported / V2: Not Reported,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Wet,Dark - lighted roadway,Rain/Snow,,109 HIGHLAND AVENUE,,,,,232952.35880594,904154.54578901
4499170,SOMERVILLE,08-Feb-2018,3:20 PM,Property damage only (none injured),No injury,2,0,0,Rear-end,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,Rte 93 N,,Exit 30 on Rte 93 N,,,233202.21748675,905925.41495381
4521228,SOMERVILLE,08-Feb-2018,3:40 PM,Property damage only (none injured),No injury,2,0,0,Angle,V1: Entering traffic lane / V2: Travelling straight ahead,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Wet,Daylight,Clear/Clear,HOLLAND STREET / SIMPSON AVENUE,HOLLAND STREET / SIMPSON AVENUE,,,,,230908.79943803,905459.43064421
4498280,SOMERVILLE,08-Feb-2018,4:50 PM,Property damage only (none injured),No injury,1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1: N,,"V1:(Light truck(van, mini-van, pickup, sport utility))",Dry,Dusk,Clear,MCGRATH HIGHWAY Rte SR28 N / RUFO ROAD,MCGRATH HIGHWAY Rte SR28 N / RUFO ROAD,,,MCGRATH HIGHWAY AT TWIN CITY PLA, VU1: Pedestrian,234427.41443396,902671.5257684
4509419,SOMERVILLE,09-Feb-2018,3:44 AM,Property damage only (none injured),No injury,1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1: W,V1:(Collision with curb),"V1:(Light truck(van, mini-van, pickup, sport utility))",Dry,Dark - lighted roadway,Clear,,MYSTIC VALLEY-ALEWIFE BROOK ROTARY Rte 16 W / CAPEN STREET,,,,,230357.24731428,907189.17660813
4503634,SOMERVILLE,09-Feb-2018,9:45 AM,Property damage only (none injured),No injury,2,0,0,Rear-end,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,,Rte 93 S,Rte 93 S Milemarker 21.0,,,,233480.79037359,905492.49586125
4521229,SOMERVILLE,09-Feb-2018,10:40 AM,Property damage only (none injured),No injury,2,0,0,"Sideswipe, opposite direction",V1: Travelling straight ahead / V2: Parked,V1: S  / V2: Not Reported,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),V1:(Single-unit truck (3-or-more axles)) / V2:(Passenger car),Not reported,Daylight,Clear,,23 GOVERNOR WINTHROP ROAD,,,,,234037.46257875,905082.48352327
4521231,SOMERVILLE,09-Feb-2018,2:30 PM,Non-fatal injury,Non-fatal injury - Possible,2,1,0,Angle,V1: Travelling straight ahead / V2: Not reported,V1: S  / V2: Not Reported,V1:(Collision with motor vehicle in traffic),V1:(Passenger car),Dry,Daylight,Clear,GOVERNOR WINTHROP ROAD / TEMPLE ROAD,GOVERNOR WINTHROP ROAD / TEMPLE ROAD,,,,,233933.04673684,905187.49976396
4521232,SOMERVILLE,10-Feb-2018,12:36 PM,Property damage only (none injured),No injury,2,0,0,Unknown,V1: Parked / V2: Not reported,V1: Not Reported / V2: Not Reported,V1:(Collision with motor vehicle in traffic),V1:(Passenger car),Dry,Dark - lighted roadway,Clear,,104 WHEATLAND STREET,,,,,233903.33393363,904836.44817466
4499830,SOMERVILLE,11-Feb-2018,1:40 AM,Property damage only (none injured),No injury,1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1: N,V1:(Collision with median barrier),V1:(Passenger car),Wet,Dark - lighted roadway,Rain,,Rte 93 N,,Exit 29 on Rte 93 N,,,234354.59732924,904549.61509137
4519398,SOMERVILLE,11-Feb-2018,2:20 PM,Property damage only (none injured),No injury,2,0,0,"Sideswipe, same direction",V1: Parked / V2: Turning right,V1: Not Reported / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with parked motor vehicle),"V1:(Passenger car) / V2:(Unknown heavy truck, cannot classify)",Wet,Daylight,Rain,BROADWAY / WALLACE STREET,BROADWAY / WALLACE STREET,,,,,231223.65639832,905689.87518843
4523284,SOMERVILLE,11-Feb-2018,10:30 PM,Not Reported,Not reported,1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1: Not Reported,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",V1:(Passenger car),Wet,Dark - lighted roadway,Rain/Rain,,523 BROADWAY,,,, VU2: Bicyclist,232463.72698591,905325.88431573
4521233,SOMERVILLE,13-Feb-2018,7:56 AM,Non-fatal injury,Non-fatal injury - Possible,1,1,0,Not reported,V1: Turning right,V1: Not Reported,,V1:(Passenger car),Dry,Daylight,Clear,BEACON STREET / OXFORD STREET,BEACON STREET / OXFORD STREET,,,, VU2: Bicyclist,231608.54676668,904035.56273889
4526299,SOMERVILLE,13-Feb-2018,8:17 AM,Non-fatal injury,Non-fatal injury - Incapacitating,1,1,0,Single vehicle crash,V1: Turning left,V1: E,V1:(Collision with pedestrian),"V1:(Single-unit truck (2-axle, 6-tires))",Dry,Daylight,Clear,WASHINGTON STREET / WEBSTER AVENUE / SOMERVILLE AVENUE,WASHINGTON STREET / WEBSTER AVENUE / SOMERVILLE AVENUE,,,, VU2: Pedestrian,233239.0153762,903315.24990622
4503710,SOMERVILLE,14-Feb-2018,10:40 PM,Non-fatal injury,Non-fatal injury - Non-incapacitating,1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1: N,V1:(Collision with median barrier),V1:(Passenger car),Dry,Dark - lighted roadway,Cloudy,,Rte 93 N,,Exit 29 on Rte 93 N,,,234354.59732924,904549.61509137
4503712,SOMERVILLE,15-Feb-2018,5:45 PM,Non-fatal injury,Non-fatal injury - Possible,3,1,0,Angle,V1: Travelling straight ahead / V2: Travelling straight ahead / V3: Travelling straight ahead,V1: S  / V2: N  / V3: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Passenger car) / V3:(Light truck(van, mini-van, pickup, sport utility))",Dry,Dark - lighted roadway,Clear,FELLSWAY Rte SR28 S / MYSTIC AVENUE Rte MYSTIC N,FELLSWAY Rte SR28 S / MYSTIC AVENUE Rte MYSTIC N,,,,,234099.10218984,904925.46398907
4505590,SOMERVILLE,17-Feb-2018,8:00 AM,Property damage only (none injured),No injury,2,0,0,Angle,V1: Turning left / V2: Travelling straight ahead,V1: E  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Single-unit truck (2-axle, 6-tires))",Dry,Daylight,Clear,,MYSTIC AVENUE Rte UNKNOW / SHORE DRIVE,,,,,233646.90683258,905276.26622804
4504589,SOMERVILLE,17-Feb-2018,3:34 PM,Property damage only (none injured),No injury,2,0,0,Angle,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: S  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Cloudy,BOSTON AVENUE / MYSTIC VALLEY PARKWAY Rte SR16 W,BOSTON AVENUE / MYSTIC VALLEY PARKWAY Rte SR16 W,,,,,230499.97631234,907408.21433555
4521266,SOMERVILLE,17-Feb-2018,6:32 PM,Property damage only (none injured),No injury,3,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Parked / V3: Parked,V1: Not Reported / V2: Not Reported / V3: Not Reported,V1:(Collision with parked motor vehicle) / V2:(Collision with parked motor vehicle) / V3:(Collision with parked motor vehicle),"V1:(Passenger car) / V2:(Passenger car) / V3:(Light truck(van, mini-van, pickup, sport utility))",Dry,Dark - lighted roadway,Clear/Clear,,55 BROADWAY,,,,,234572.97201485,904102.42596307
4521234,SOMERVILLE,18-Feb-2018,10:17 AM,Non-fatal injury,Non-fatal injury - Possible,1,1,0,Single vehicle crash,V1: Slowing or stopped in traffic,V1: Not Reported,V1:(Collision with utility pole),"V1:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,10 FRANKLIN STREET,,,,,234350.23548516,904076.96149269
4509333,SOMERVILLE,19-Feb-2018,10:00 AM,Property damage only (none injured),No injury,2,0,0,Angle,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: N  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Cloudy,,MCGRATH HIGHWAY Rte UNKNOW N / WASHINGTON STREET,,,,,233767.37480069,903382.56254628
4506752,SOMERVILLE,19-Feb-2018,10:10 PM,Property damage only (none injured),No injury,2,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Wet,Dark - lighted roadway,Cloudy,MCGRATH HIGHWAY Rte SR28 N / PEARL STREET,MCGRATH HIGHWAY Rte SR28 N / PEARL STREET,,,,,233721.97694812,904083.27591387
4505288,SOMERVILLE,20-Feb-2018,7:01 AM,Property damage only (none injured),No injury,2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Travelling straight ahead,V1: W  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,ALEWIFE BROOK PARKWAY Rte SR16 W / WOODS AVENUE,ALEWIFE BROOK PARKWAY Rte SR16 W / WOODS AVENUE,,,,,230354.24209791,907035.90135889
4521235,SOMERVILLE,20-Feb-2018,10:14 AM,Property damage only (none injured),No injury,2,0,0,Rear-end,V1: Travelling straight ahead / V2: Turning left,V1: E  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Daylight,Clear/Clear,ELM STREET / LINDEN AVENUE,ELM STREET / LINDEN AVENUE,,,,,231730.1406228,904134.62501098
4521238,SOMERVILLE,21-Feb-2018,12:53 PM,Non-fatal injury,Non-fatal injury - Non-incapacitating,1,1,0,Rear-end,V1: Turning left,V1: E,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))","V1:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,SOMERVILLE AVENUE / LINDEN STREET,SOMERVILLE AVENUE / LINDEN STREET,,,, VU2: Bicyclist,233552.33684849,903194.5976181
4506081,SOMERVILLE,21-Feb-2018,3:50 PM,Property damage only (none injured),No injury,1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1: E,V1:(Collision with tree),"V1:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,MYSTIC VALLEY-ALEWIFE BROOK ROTARY Rte SR16 E / MYSTIC VALLEY PARKWAY Rte SR16,,,,,230357.68292406,907184.96336774
4509334,SOMERVILLE,23-Feb-2018,8:01 PM,Non-fatal injury,Non-fatal injury - Non-incapacitating,2,1,0,Angle,V1: Travelling straight ahead / V2: Changing lanes,V1: E  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with pedestrian),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Dark - lighted roadway,Cloudy,BOSTON AVENUE / MYSTIC VALLEY PARKWAY Rte SR16 W,BOSTON AVENUE / MYSTIC VALLEY PARKWAY Rte SR16 W,,,,,230499.97631234,907408.21433555
4505328,SOMERVILLE,23-Feb-2018,9:25 PM,Property damage only (none injured),No injury,2,0,0,Angle,V1: Turning left / V2: Travelling straight ahead,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Wet,Dark - lighted roadway,Cloudy/Rain,FELLSWAY Rte SR28 S / MYSTIC AVENUE Rte SR38 N,FELLSWAY Rte SR28 S / MYSTIC AVENUE Rte SR38 N,,,,,234095.81109235,904838.36397224
4511640,SOMERVILLE,25-Feb-2018,1:28 AM,Property damage only (none injured),No injury,2,0,0,Angle,V1: Entering traffic lane / V2: Travelling straight ahead,V1: E  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Dark - lighted roadway,Clear,,MCGRATH HIGHWAY Rte UNKNOW / MYSTIC AVENUE,,,,,234095.865297,904837.40030763
4519397,SOMERVILLE,27-Feb-2018,9:00 AM,Property damage only (none injured),No injury,2,0,0,"Sideswipe, same direction",V1: Slowing or stopped in traffic / V2: Slowing or stopped in traffic,V1: S  / V2: S,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Single-unit truck (2-axle, 6-tires))",Dry,Daylight,Clear,,43 CEDAR STREET,,,,,231770.61873274,904426.37229935
4521239,SOMERVILLE,27-Feb-2018,3:24 PM,Non-fatal injury,Non-fatal injury - Non-incapacitating,2,1,0,Angle,V1: Slowing or stopped in traffic / V2: Travelling straight ahead,V1: W  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,BLAKELEY AVENUE / MCGRATH HIGHWAY,BLAKELEY AVENUE / MCGRATH HIGHWAY / Rte 28,,,,,234017.09358493,904574.87486739
4519414,SOMERVILLE,28-Feb-2018,4:30 PM,Property damage only (none injured),No injury,1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1: Not Reported,"V1:(Collision with other fixed object (wall, building, tunnel, etc.))","V1:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,48 ASH AVENUE,,,,,233330.9534148,905456.20228509
4509425,SOMERVILLE,01-Mar-2018,11:10 AM,Property damage only (none injured),No injury,2,0,0,Angle,V1: Turning left / V2: Travelling straight ahead,V1: S  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,,MCGRATH HIGHWAY Rte UNKNOW S / WASHINGTON STREET,,,,,233767.37480069,903382.56254628
4538242,SOMERVILLE,01-Mar-2018,12:30 PM,Property damage only (none injured),No injury,2,0,0,Angle,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: Not Reported / V2: Not Reported,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,GRANT STREET / JAQUES STREET,GRANT STREET / JAQUES STREET,,,,,233752.45307268,904787.87505959
4538234,SOMERVILLE,01-Mar-2018,5:30 PM,Property damage only (none injured),No injury,2,0,0,Single vehicle crash,V1: Turning right / V2: Travelling straight ahead,V1: W  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Dusk,Clear,WOODS AVENUE / NORTH STREET,WOODS AVENUE / NORTH STREET,,,,,230638.40660578,906814.25022947
4512231,SOMERVILLE,01-Mar-2018,7:55 PM,Property damage only (none injured),No injury,3,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic / V3: Slowing or stopped in traffic,V1: N  / V2: N  / V3: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car) / V3:(Passenger car),Dry,Dark - lighted roadway,Clear,,Rte 93 N,,Exit 29 on Rte 93 N,,,234354.59732924,904549.61509137
4513724,SOMERVILLE,02-Mar-2018,1:40 AM,Property damage only (none injured),No injury,1,0,0,Single vehicle crash,V1: Turning left,V1: W,V1:(Collision with guardrail),V1:(Passenger car),Wet,Dark - lighted roadway,Rain,,50 feet N from Intersection 100 MYSTIC VALLEY PARKWAY Rte SR16 W / AUBURN STREET,,,,,230718.50823718,907581.347505
